iter	Passed	Remaining
0	53	53290
1	54	27039
2	54	18209
3	55	13785
4	55	11136
5	56	9374
6	57	8117
7	57	7165
8	58	6459
9	59	5907
10	60	5432
11	61	5036
12	61	4693
13	62	4390
14	62	4128
15	63	3901
16	64	3702
17	64	3524
18	65	3364
19	65	3221
20	66	3088
21	66	2967
22	67	2860
23	67	2764
24	68	2671
25	69	2585
26	69	2509
27	70	2439
28	70	2370
29	71	2305
30	71	2245
31	72	2192
32	73	2142
33	73	2098
34	74	2056
35	75	2014
36	75	1975
37	76	1935
38	77	1899
39	77	1863
40	78	1829
41	78	1797
42	79	1767
43	79	1737
44	80	1710
45	81	1681
46	81	1656
47	82	1632
48	82	1609
49	83	1586
50	84	1566
51	84	1545
52	85	1524
53	85	1504
54	86	1486
55	87	1468
56	87	1451
57	88	1435
58	89	1420
59	89	1405
60	90	1390
61	90	1376
62	91	1362
63	92	1347
64	92	1333
65	93	1319
66	93	1305
67	94	1293
68	94	1281
69	95	1268
70	96	1259
71	96	1247
72	97	1240
73	98	1230
74	98	1220
75	99	1212
76	100	1204
77	101	1194
78	101	1187
79	102	1180
80	103	1172
81	103	1163
82	104	1151
83	104	1143
84	105	1134
85	106	1126
86	106	1118
87	107	1111
88	107	1103
89	108	1096
90	109	1089
91	109	1081
92	110	1077
93	111	1070
94	111	1065
95	112	1059
96	113	1052
97	113	1045
98	114	1039
99	114	1033
100	115	1028
101	116	1021
102	116	1016
103	117	1010
104	117	1004
105	118	999
106	119	994
107	119	988
108	120	983
109	120	978
110	121	972
111	122	967
112	122	963
113	123	957
114	123	952
115	124	947
116	124	942
117	125	938
118	126	935
119	126	930
120	127	926
121	128	921
122	128	918
123	129	914
124	130	910
125	130	906
126	131	901
127	131	898
128	132	894
129	133	891
130	133	887
131	134	883
132	135	880
133	135	876
134	136	872
135	136	869
136	137	865
137	138	862
138	138	858
139	139	855
140	140	853
141	140	849
142	141	846
143	141	842
144	142	839
145	143	837
146	143	834
147	144	830
148	144	827
149	145	824
150	146	821
151	146	818
152	147	814
153	147	811
154	148	809
155	149	806
156	149	803
157	150	800
158	150	798
159	151	795
160	152	792
161	152	789
162	153	786
163	153	784
164	154	782
165	155	779
166	156	779
167	156	776
168	157	775
169	158	773
170	159	772
171	159	769
172	160	766
173	161	765
174	161	762
175	162	760
176	163	759
177	164	759
178	164	756
179	165	754
180	166	752
181	167	750
182	168	750
183	169	750
184	169	748
185	170	745
186	171	745
187	172	743
188	172	741
189	173	739
190	173	736
191	174	734
192	174	731
193	175	729
194	176	728
195	176	725
196	177	723
197	177	720
198	178	718
199	179	717
200	180	716
201	181	716
202	182	716
203	183	714
204	183	713
205	184	712
206	185	709
207	186	708
208	187	707
209	188	708
210	189	707
211	189	704
212	190	702
213	190	700
214	191	697
215	191	695
216	192	693
217	192	690
218	193	688
219	193	686
220	194	684
221	194	681
222	195	679
223	195	677
224	196	675
225	196	673
226	197	671
227	197	669
228	198	667
229	198	665
230	199	663
231	199	661
232	200	658
233	200	656
234	201	654
235	201	653
236	202	650
237	202	649
238	203	647
239	203	645
240	204	643
241	204	641
242	205	639
243	205	637
244	206	635
245	206	633
246	207	631
247	207	629
248	207	627
249	208	625
250	208	623
251	209	621
252	209	619
253	210	617
254	210	615
255	211	614
256	211	612
257	212	610
258	212	608
259	213	606
260	213	605
261	214	603
262	214	601
263	215	599
264	215	598
265	216	596
266	216	594
267	217	593
268	217	591
269	218	590
270	218	588
271	219	586
272	219	585
273	220	583
274	220	581
275	221	580
276	221	578
277	222	577
278	222	575
279	223	573
280	223	572
281	224	570
282	224	569
283	225	567
284	225	565
285	226	564
286	226	562
287	227	561
288	227	560
289	228	558
290	228	556
291	229	555
292	229	554
293	230	552
294	230	551
295	231	549
296	231	548
297	232	547
298	232	545
299	233	544
300	233	542
301	234	541
302	234	539
303	235	538
304	235	536
305	235	535
306	236	533
307	236	532
308	237	530
309	237	529
310	238	527
311	238	526
312	239	525
313	239	523
314	240	522
315	240	521
316	241	519
317	241	518
318	242	517
319	242	515
320	243	514
321	243	513
322	244	512
323	244	510
324	245	509
325	245	508
326	246	506
327	246	505
328	247	504
329	247	503
330	248	501
331	248	500
332	249	499
333	249	497
334	250	496
335	250	495
336	251	494
337	251	492
338	252	491
339	252	490
340	253	489
341	253	487
342	254	486
343	254	485
344	255	484
345	255	483
346	256	482
347	256	481
348	257	480
349	257	478
350	258	477
351	258	476
352	259	475
353	259	474
354	260	472
355	260	471
356	261	470
357	261	469
358	262	468
359	262	467
360	263	465
361	263	464
362	264	463
363	264	462
364	265	461
365	265	460
366	266	459
367	266	457
368	267	456
369	267	455
370	268	454
371	268	453
372	269	452
373	269	451
374	270	450
375	270	449
376	271	448
377	271	447
378	272	446
379	272	445
380	273	444
381	273	443
382	274	442
383	274	441
384	275	440
385	275	438
386	276	437
387	276	436
388	277	435
389	277	434
390	278	433
391	278	432
392	279	431
393	279	430
394	280	429
395	280	428
396	281	427
397	281	426
398	282	425
399	282	424
400	283	423
401	283	422
402	284	421
403	284	420
404	285	419
405	285	418
406	286	417
407	286	415
408	287	414
409	287	414
410	288	413
411	288	412
412	289	411
413	289	410
